periode,valeur
2010-01,8.733333333333333
2010-02,8.633333333333333
2010-03,8.566666666666666
2010-04,8.433333333333334
2010-05,8.299999999999999
2010-06,8.366666666666667
2010-07,8.733333333333333
2010-08,8.6
2010-09,8.433333333333334
2010-10,8.2
2010-11,7.900000000000001
2010-12,7.7
2011-01,7.366666666666667
2011-02,7.133333333333333
2011-03,6.900000000000001
2011-04,6.833333333333333
2011-05,6.833333333333333
2011-06,7.0
2011-07,7.566666666666666
2011-08,7.8
2011-09,7.666666666666667
2011-10,7.3
2011-11,7.166666666666667
2011-12,7.099999999999999
2012-01,7.266666666666667
2012-02,7.333333333333333
2012-03,7.2
2012-04,7.233333333333333
2012-05,7.266666666666667
2012-06,7.266666666666667
2012-07,7.466666666666666
2012-08,7.7
2012-09,7.8999999999999995
2012-10,8.2
2012-11,8.366666666666667
2012-12,8.5
2013-01,8.566666666666666
2013-02,8.533333333333333
2013-03,8.5
2013-04,8.533333333333333
2013-05,8.4
2013-06,8.366666666666667
2013-07,8.6
2013-08,8.6
2013-09,8.6
2013-10,8.6
2013-11,8.6
2013-12,8.7
2014-01,8.866666666666667
2014-02,8.733333333333333
2014-03,8.7
2014-04,8.566666666666666
2014-05,8.4
2014-06,8.366666666666667
2014-07,8.666666666666666
2014-08,8.700000000000001
2014-09,8.733333333333333
2014-10,8.7
2014-11,8.666666666666666
2014-12,8.7
2015-01,8.833333333333334
2015-02,8.833333333333334
2015-03,8.9
2015-04,8.766666666666667
2015-05,8.6
2015-06,8.433333333333332
2015-07,8.299999999999999
2015-08,8.266666666666666
2015-09,8.433333333333334
2015-10,8.8
2015-11,8.9
2015-12,8.8
2016-01,8.466666666666667
2016-02,8.233333333333333
2016-03,8.133333333333333
2016-04,8.166666666666666
2016-05,8.1
2016-06,8.0
2016-07,7.966666666666666
2016-08,7.8
2016-09,7.533333333333334
2016-10,7.266666666666667
2016-11,7.166666666666667
2016-12,7.3
2017-01,7.633333333333333
2017-02,7.733333333333333
2017-03,7.599999999999999
2017-04,7.366666666666667
2017-05,7.133333333333333
2017-06,7.066666666666666
2017-07,7.266666666666667
2017-08,7.2
2017-09,6.933333333333334
2017-10,6.7
2017-11,6.366666666666667
2017-12,6.2
2018-01,6.1000000000000005
2018-02,6.066666666666666
2018-03,6.166666666666667
2018-04,6.366666666666667
2018-05,6.3
2018-06,6.1000000000000005
2018-07,5.966666666666666
2018-08,5.7
2018-09,5.633333333333333
2018-10,5.7
2018-11,5.766666666666667
2018-12,5.7
2019-01,5.633333333333333
2019-02,5.599999999999999
2019-03,5.566666666666666
2019-04,5.566666666666666
2019-05,5.5
2019-06,5.3999999999999995
2019-07,5.266666666666667
2019-08,5.2
2019-09,5.166666666666667
2019-10,5.2
2019-11,5.166666666666667
2019-12,5.2
2020-01,5.133333333333333
2020-02,5.033333333333333
2020-03,4.966666666666667
2020-04,4.866666666666667
2020-05,4.933333333333334
2020-06,5.3
2020-07,6.066666666666666
2020-08,6.5
2020-09,6.3
2020-10,5.8
2020-11,5.7
2020-12,5.966666666666666
2021-01,6.533333333333334
2021-02,6.8
2021-03,6.7
2021-04,6.466666666666666
2021-05,6.2
2021-06,6.2
2021-07,6.366666666666667
2021-08,6.5
2021-09,6.233333333333333
2021-10,6.0
2021-11,5.766666666666667
2021-12,5.599999999999999
2022-01,5.333333333333333
2022-02,5.233333333333333
2022-03,5.400000000000001
2022-04,5.7
2022-05,5.833333333333333
2022-06,5.733333333333333
2022-07,5.566666666666666
2022-08,5.5
2022-09,5.466666666666666
2022-10,5.599999999999999
2022-11,5.666666666666667
2022-12,5.7
2023-01,5.633333333333333
2023-02,5.599999999999999
2023-03,5.599999999999999
2023-04,5.6000000000000005
2023-05,5.6000000000000005
2023-06,5.5
2023-07,5.466666666666666
2023-08,5.3999999999999995
2023-09,5.466666666666666
2023-10,5.5
2023-11,5.466666666666666
2023-12,5.566666666666666
2024-01,5.7
2024-02,5.7
2024-03,5.666666666666667
2024-04,5.533333333333334
2024-05,5.5
2024-06,5.5
2024-07,5.666666666666667
2024-08,5.8
2024-09,5.866666666666667
2024-10,5.8
2024-11,5.866666666666667
2024-12,6.0
2025-01,6.133333333333333
2025-02,6.233333333333333
2025-03,6.166666666666667
2025-04,6.033333333333334
2025-05,5.8999999999999995
2025-06,6.0
2025-07,6.166666666666667
2025-08,6.2
2025-09,6.366666666666667
2025-10,6.400000000000001
2025-11,6.366666666666667
2025-12,6.466666666666666
